panglao_ontology	panglao_annotation	blueprint_ontology	blueprint_annotation_main	blueprint_annotation_fine	consensus_ontology	consensus_annotation
CL:0002292	type I cell of carotid body	CL:0000312	Keratinocytes	Keratinocytes	CL:0002077	ecto-epithelial cell
CL:0000242	Merkel cell	CL:0000312	Keratinocytes	Keratinocytes	CL:0000312	keratinocyte
CL:0002062	pulmonary alveolar type 1 cell	CL:0000312	Keratinocytes	Keratinocytes	CL:0000076	squamous epithelial cell
CL:0002063	pulmonary alveolar type 2 cell	CL:0000312	Keratinocytes	Keratinocytes	CL:0000076	squamous epithelial cell
CL:0002140	acinar cell of sebaceous gland	CL:0000312	Keratinocytes	Keratinocytes	CL:0000362	epidermal cell
CL:0000216	Sertoli cell	CL:0000312	Keratinocytes	Keratinocytes	CL:0000076	squamous epithelial cell
CL:0002562	hair germinal matrix cell	CL:0000312	Keratinocytes	Keratinocytes	CL:0000362	epidermal cell
CL:0000115	endothelial cell	CL:2000008	Endothelial cells	mv Endothelial cells	CL:0000115	endothelial cell
CL:0002544	aortic endothelial cell	CL:2000008	Endothelial cells	mv Endothelial cells	CL:0000071	blood vessel endothelial cell
CL:2000044	brain microvascular endothelial cell	CL:2000008	Endothelial cells	mv Endothelial cells	CL:2000008	microvascular endothelial cell
CL:0000192	smooth muscle cell	CL:0000187	Myocytes	Myocytes	CL:0000187	muscle cell
CL:0019019	tracheobronchial smooth muscle cell	CL:0000187	Myocytes	Myocytes	CL:0000187	muscle cell
CL:0000746	cardiac muscle cell	CL:0000187	Myocytes	Myocytes	CL:0000187	muscle cell
CL:0000359	vascular associated smooth muscle cell	CL:0000187	Myocytes	Myocytes	CL:0000187	muscle cell
CL:0002068	Purkinje myocyte	CL:0000187	Myocytes	Myocytes	CL:0000187	muscle cell
CL:0000136	adipocyte	CL:0000136	Adipocytes	Adipocytes	CL:0000136	adipocyte
CL:0000650	mesangial cell	CL:0000669	Pericytes	Pericytes	CL:0000669	pericyte
CL:0000669	pericyte	CL:0000669	Pericytes	Pericytes	CL:0000669	pericyte
CL:0000127	astrocyte	CL:0000127	Astrocytes	Astrocytes	CL:0000127	astrocyte
CL:0000065	ependymal cell	CL:0000127	Astrocytes	Astrocytes	CL:0000125	glial cell
CL:0000128	oligodendrocyte	CL:0000127	Astrocytes	Astrocytes	CL:0000126	macroglial cell
CL:0002085	tanycyte	CL:0000127	Astrocytes	Astrocytes	CL:0000127	astrocyte
CL:0000644	Bergmann glial cell	CL:0000127	Astrocytes	Astrocytes	CL:0000127	astrocyte
CL:0000706	choroid plexus epithelial cell	CL:0000127	Astrocytes	Astrocytes	CL:0000125	glial cell
CL:4040002	enteroglial cell	CL:0000127	Astrocytes	Astrocytes	CL:0000125	glial cell
CL:4042021	neuronal-restricted precursor	CL:0000127	Astrocytes	Astrocytes	CL:0000095	neuron associated cell
CL:0000242	Merkel cell	CL:0000127	Astrocytes	Astrocytes	CL:0000095	neuron associated cell
CL:0000129	microglial cell	CL:0000127	Astrocytes	Astrocytes	CL:0000125	glial cell
CL:0000636	Mueller cell	CL:0000127	Astrocytes	Astrocytes	CL:0000125	glial cell
CL:0002453	oligodendrocyte precursor cell	CL:0000127	Astrocytes	Astrocytes	CL:0000095	neuron associated cell
CL:0002573	Schwann cell	CL:0000127	Astrocytes	Astrocytes	CL:0000125	glial cell
CL:0000681	radial glial cell	CL:0000127	Astrocytes	Astrocytes	CL:0000125	glial cell
CL:0000516	perineural satellite cell	CL:0000127	Astrocytes	Astrocytes	CL:0000095	neuron associated cell
CL:0000650	mesangial cell	CL:0000650	Mesangial cells	Mesangial cells	CL:0000650	mesangial cell
CL:0000669	pericyte	CL:0000650	Mesangial cells	Mesangial cells	CL:0000669	pericyte
